RepNam	halfLive_h	Ensembl_Gene	RefSeq_nuc1	Ensembl_nuc
NM_145271	6.08 	ENSG00000229809.9	NM_145271	ENST00000223459.11
NM_001024683	6.08 			
NM_033415	6.08 			
NM_053051	6.08 	ENSG00000170037.14	NM_053051	ENST00000563694.6
NM_001037144	6.08 			
NM_007223	6.08 	ENSG00000166073.11	NM_007223	ENST00000561100.2
NM_001008539	6.09 			
NM_003046	6.09 			
NM_005105	6.09 	ENSG00000265241.8	NM_005105	ENST00000583313.7
NM_025078	6.09 	ENSG00000122490.19	NM_025078	ENST00000397778.7
NM_017443	6.09 	ENSG00000148229.13	NM_017443	ENST00000374171.5
NM_015635	6.09 			
NM_033386	6.09 	ENSG00000100139.14	NM_033386	ENST00000215957.10
NM_006267	6.10 	ENSG00000153201.17	NM_006267	ENST00000283195.11
NM_199513	6.10 			
NM_018244	6.10 	ENSG00000101019.22	NM_018244	ENST00000374385.10
NM_199487	6.10 			
NM_013328	6.10 	ENSG00000143811.20	NM_013328	ENST00000343818.11
NM_004037	6.10 			
NM_139156	6.10 			
NM_203404	6.10 			
NM_024031	6.10 	ENSG00000156858.12	NM_024031	ENST00000300835.9
NM_021947	6.10 	ENSG00000167720.13	NM_021947	ENST00000344595.10
NM_032299	6.10 	ENSG00000137692.12	NM_032299	ENST00000260247.10
NM_005188	6.10 	ENSG00000110395.8	NM_005188	ENST00000264033.6
NM_006788	6.11 	ENSG00000017797.13	NM_006788	ENST00000383432.8
NM_012287	6.11 	ENSG00000114331.16	NM_012287	ENST00000326793.11
NM_014791	6.11 	ENSG00000165304.8	NM_014791	ENST00000298048.7
NM_001040063	6.11 			
NM_016070	6.11 	ENSG00000181610.13	NM_016070	ENST00000313608.13
NM_018404	6.11 	ENSG00000184060.11	NM_018404	ENST00000330889.8
NM_003945	6.12 	ENSG00000113732.9	NM_003945	ENST00000519374.6
NM_015713	6.12 	ENSG00000048392.13	NM_015713	ENST00000251810.8
NM_001039547	6.12 	ENSG00000175066.16	NM_001039547	ENST00000392993.7
NM_033168	6.12 			
NM_003781	6.12 	ENSG00000169255.15	NM_003781	ENST00000320474.10
NM_001038628	6.12 			
NM_033167	6.12 			
NM_033169	6.12 			
NM_021627	6.12 	ENSG00000163904.13	NM_021627	ENST00000296257.10
NM_014282	6.12 	ENSG00000130956.14	NM_014282	ENST00000375249.5
NM_199122	6.12 			
NM_030900	6.12 			
NM_004749	6.12 	ENSG00000136270.14	NM_004749	ENST00000258770.8
NM_032233	6.12 	ENSG00000183576.13	NM_032233	ENST00000331768.10
NM_199123	6.12 			
NM_030783	6.12 	ENSG00000174915.12	NM_030783	ENST00000308020.6
NM_001014834	6.13 			
NM_005884	6.13 	ENSG00000130669.17	NM_005884	ENST00000360442.8
NM_001014833	6.13 			
NM_001014832	6.13 			
NM_001014831	6.13 			
NM_001014835	6.13 			
NM_130802	6.13 			
NM_130803	6.13 			
NM_130799	6.13 			
NM_130804	6.13 			
NM_130800	6.13 			
NM_000244	6.13 			
NM_130801	6.13 			
NM_139348	6.13 			
NM_139343	6.13 	ENSG00000136717.15	NM_139343	ENST00000316724.10
NM_139345	6.13 			
NM_139350	6.13 			
NM_004305	6.13 			
NM_139349	6.13 			
NM_139346	6.13 			
NM_139347	6.13 			
NM_139351	6.13 			
NM_139344	6.13 			
NM_176083	6.13 			
NM_004412	6.13 	ENSG00000107614.22	NM_004412	ENST00000377799.8
NM_176081	6.13 			
NM_030811	6.13 	ENSG00000125901.6	NM_030811	ENST00000380325.4
NM_003184	6.13 	ENSG00000064313.13	NM_003184	ENST00000378164.7
NM_001005736	6.13 			
NM_000081	6.13 	ENSG00000143669.16	NM_000081	ENST00000389793.7
NM_005934	6.13 	ENSG00000130382.9	NM_005934	ENST00000252674.9
NM_030941	6.13 	ENSG00000005189.20	NM_030941	ENST00000261377.11
NM_139265	6.13 	ENSG00000103966.11	NM_139265	ENST00000220325.9
NM_001237	6.13 	ENSG00000145386.11	NM_001237	ENST00000274026.10
NM_001226	6.13 	ENSG00000138794.10	NM_001226	ENST00000265164.7
NM_032992	6.13 			
NM_032960	6.14 	ENSG00000162889.11	NM_032960	ENST00000367103.4
NM_004759	6.14 			
NM_148176	6.14 			
NM_014337	6.14 	ENSG00000100023.20	NM_014337	ENST00000398831.8
NM_148175	6.14 			
NM_203304	6.15 	ENSG00000181588.17	NM_203304	ENST00000402693.5
NM_024663	6.15 	ENSG00000215440.12	NM_024663	ENST00000356091.11
NM_176877	6.15 			
NM_020132	6.15 	ENSG00000160216.21	NM_020132	ENST00000291572.13
NM_001037553	6.15 			
NM_016118	6.15 			
NM_016310	6.15 	ENSG00000161980.6	NM_016310	ENST00000293860.6
NM_148920	6.15 			
NM_004204	6.15 	ENSG00000007541.17	NM_004204	ENST00000321878.10
NM_153265	6.15 	ENSG00000149499.12	NM_153265	ENST00000394773.7
NM_000743	6.15 	ENSG00000080644.16	NM_000743	ENST00000326828.6
NM_006005	6.15 	ENSG00000109501.15	NM_006005	ENST00000226760.5
NM_133483	6.16 			
NM_182947	6.16 	ENSG00000240771.8	NM_182947	ENST00000286494.9
NM_021649	6.17 	ENSG00000243414.6	NM_021649	ENST00000427199.3
NM_002658	6.17 	ENSG00000122861.16	NM_002658	ENST00000372764.4
NM_024576	6.17 	ENSG00000119900.9	NM_024576	ENST00000370435.5
NM_004396	6.17 	ENSG00000108654.16	NM_004396	ENST00000225792.10
NM_014165	6.17 	ENSG00000123545.6	NM_014165	ENST00000316149.8
NM_002751	6.18 	ENSG00000185386.15	NM_002751	ENST00000330651.11
NM_003504	6.18 	ENSG00000093009.11	NM_003504	ENST00000263201.7
NM_020421	6.18 	ENSG00000063761.16	NM_020421	ENST00000238561.10
NM_004050	6.18 	ENSG00000129473.11	NM_004050	ENST00000250405.10
NM_031427	6.18 	ENSG00000119661.15	NM_031427	ENST00000553645.7
NM_014647	6.18 	ENSG00000166783.22	NM_014647	ENST00000396368.8
NM_006807	6.18 			
NM_024545	6.19 			
NM_003038	6.19 	ENSG00000115902.11	NM_003038	ENST00000234256.4
NM_014666	6.20 	ENSG00000113282.14	NM_014666	ENST00000411809.7
NM_031308	6.20 	ENSG00000261150.3	NM_031308	ENST00000615648.2
NM_014170	6.20 	ENSG00000163607.18	NM_014170	ENST00000383678.8
NM_138485	6.20 			
NM_020677	6.20 	ENSG00000153406.14	NM_020677	ENST00000283429.11
NM_018289	6.20 			
NM_033182	6.21 	ENSG00000132879.14	NM_033182	ENST00000251547.10
NM_001014765	6.21 			
NM_183413	6.21 			
NM_183412	6.21 			
NM_152371	6.21 	ENSG00000157870.17	NM_152371	ENST00000419916.8
NM_004486	6.21 			
NM_006773	6.22 	ENSG00000088205.13	NM_006773	ENST00000263239.7
NM_018848	6.22 			
NM_170784	6.22 	ENSG00000125863.20	NM_170784	ENST00000347364.7
NM_003155	6.22 	ENSG00000159167.12	NM_003155	ENST00000290271.7
NM_173638	6.22 			
NM_022371	6.22 	ENSG00000186283.14	NM_022371	ENST00000367627.8
NM_000991	6.22 	ENSG00000108107.15	NM_000991	ENST00000344063.7
NM_023937	6.22 	ENSG00000130312.7	NM_023937	ENST00000252602.2
NM_030582	6.22 			
NM_130445	6.22 			
NM_006286	6.22 			
NM_006059	6.22 	ENSG00000050555.19	NM_006059	ENST00000361069.9
NM_173602	6.22 	ENSG00000066084.13	NM_173602	ENST00000301180.10
NM_001044305	6.22 	ENSG00000112305.15	NM_001044305	ENST00000370455.8
NM_021940	6.22 			
NM_194071	6.22 	ENSG00000182158.16	NM_194071	ENST00000330387.11
NM_020199	6.24 	ENSG00000113583.8	NM_020199	ENST00000231512.5
NM_006096	6.24 	ENSG00000104419.17	NM_006096	ENST00000323851.13
NM_015139	6.24 	ENSG00000116704.8	NM_015139	ENST00000235345.6
NM_006818	6.24 	ENSG00000213190.4	NM_006818	ENST00000368921.5
NM_019613	6.24 	ENSG00000141580.16	NM_019613	ENST00000392325.9
NM_006782	6.24 	ENSG00000162300.13	NM_006782	ENST00000294258.8
NM_005463	6.24 			
NM_031372	6.24 	ENSG00000152795.18	NM_031372	ENST00000295470.10
NM_006342	6.24 	ENSG00000013810.21	NM_006342	ENST00000313288.9
NM_005531	6.25 			
NM_175066	6.25 	ENSG00000185163.10	NM_175066	ENST00000397333.4
NM_014876	6.25 			
NM_020886	6.25 			
NM_152832	6.25 			
NM_199363	6.26 			
NM_199360	6.26 			
NM_003288	6.26 	ENSG00000101150.18	NM_003288	ENST00000346249.9
NM_199361	6.26 			
NM_199362	6.26 			
NM_199359	6.26 			
NM_004003	6.26 			
NM_144782	6.26 			
NM_000755	6.26 	ENSG00000095321.18	NM_000755	ENST00000318080.7
NM_001256	6.26 	ENSG00000004897.12	NM_001256	ENST00000066544.8
NM_006196	6.27 	ENSG00000169564.7	NM_006196	ENST00000303577.7
NM_018273	6.27 	ENSG00000161558.11	NM_018273	ENST00000293261.8
NM_198850	6.27 	ENSG00000176531.11	NM_198850	ENST00000292140.10
NM_021052	6.27 	ENSG00000277075.3	NM_021052	ENST00000303910.5
NM_138798	6.29 	ENSG00000158411.11	NM_138798	ENST00000289359.6
NM_003045	6.29 	ENSG00000139514.13	NM_003045	ENST00000380752.10
NM_015960	6.29 	ENSG00000119929.13	NM_015960	ENST00000370476.10
NM_005997	6.29 	ENSG00000163159.15	NM_005997	ENST00000368892.9
NM_006468	6.29 	ENSG00000186141.10	NM_006468	ENST00000334163.4
NM_004359	6.29 	ENSG00000099804.9	NM_004359	ENST00000215574.9
NM_016828	6.29 			
NM_016821	6.29 			
NM_016820	6.29 			
NM_016819	6.29 			
NM_016827	6.29 			
NM_016826	6.29 			
NM_002542	6.29 	ENSG00000114026.22	NM_002542	ENST00000344629.12
NM_016829	6.29 			
NM_000602	6.29 	ENSG00000106366.9	NM_000602	ENST00000223095.5
NM_198066	6.29 	ENSG00000100522.10	NM_198066	ENST00000216410.8
NM_020764	6.29 	ENSG00000167971.16	NM_020764	ENST00000343516.8
NM_032582	6.29 	ENSG00000170832.13	NM_032582	ENST00000300896.9
NM_024774	6.29 			
NM_001076786	6.29 	ENSG00000060749.16	NM_001076786	ENST00000650167.2
NM_002373	6.29 	ENSG00000166963.13	NM_002373	ENST00000300231.6
NM_001014841	6.30 			
NM_014284	6.30 	ENSG00000020129.16	NM_014284	ENST00000373243.7
NM_001014839	6.30 			
NM_003926	6.31 			
NM_017876	6.31 			
NM_194460	6.31 	ENSG00000070423.18	NM_194460	ENST00000292363.10
NM_001757	6.31 	ENSG00000159228.13	NM_001757	ENST00000290349.11
NM_006750	6.31 	ENSG00000168807.17	NM_006750	ENST00000336278.9
NM_003204	6.31 	ENSG00000082641.16	NM_003204	ENST00000362042.8
NM_183323	6.32 			
NM_006451	6.32 	ENSG00000172239.14	NM_006451	ENST00000306846.8
NM_182789	6.32 			
NM_002958	6.32 	ENSG00000163785.13	NM_002958	ENST00000623711.4
NM_001005861	6.32 			
NM_004572	6.32 			
NM_001005242	6.32 	ENSG00000057294.17	NM_001005242	ENST00000340811.9
NM_001013440	6.32 			
NM_021126	6.32 	ENSG00000128309.17	NM_021126	ENST00000429360.6
NM_001013436	6.32 			
NM_001259	6.32 			
NM_014671	6.32 	ENSG00000009335.18	NM_014671	ENST00000348165.10
NM_004712	6.32 	ENSG00000185359.14	NM_004712	ENST00000329138.9
NM_144504	6.32 			
NM_016946	6.32 	ENSG00000158769.18	NM_016946	ENST00000368026.11
NM_144503	6.32 			
NM_144502	6.32 			
NM_015609	6.32 			
NM_018114	6.32 			
NM_001009996	6.32 	ENSG00000178149.17	NM_001009996	ENST00000341949.9
NM_001478	6.32 	ENSG00000135454.14	NM_001478	ENST00000341156.9
NM_198150	6.33 	ENSG00000164291.17	NM_198150	ENST00000380009.9
NM_025029	6.33 	ENSG00000152082.15	NM_025029	ENST00000281871.11
NM_001007561	6.33 	ENSG00000167378.10	NM_001007561	ENST00000422989.6
NM_014299	6.33 			
NM_058243	6.33 			
NM_024430	6.33 	ENSG00000152229.18	NM_024430	ENST00000409746.5
NM_001042646	6.33 	ENSG00000182606.17	NM_001042646	ENST00000327628.10
NM_014965	6.33 			
NM_001039697	6.33 	ENSG00000164975.16	NM_001039697	ENST00000380821.8
NM_152729	6.33 	ENSG00000178425.14	NM_152729	ENST00000319550.9
NM_021151	6.33 	ENSG00000005469.12	NM_021151	ENST00000331536.8
NM_032490	6.33 	ENSG00000170270.5	NM_032490	ENST00000306954.5
NM_004703	6.33 	ENSG00000029725.17	NM_004703	ENST00000537505.6
NM_002419	6.33 	ENSG00000173327.8	NM_002419	ENST00000309100.8
NM_001030010	6.33 			
NM_000694	6.33 	ENSG00000006534.17	NM_000694	ENST00000342456.11
NM_001009913	6.33 			
NM_032902	6.34 			
NM_138929	6.34 			
NM_138930	6.34 			
NM_019887	6.34 			
NM_004739	6.34 	ENSG00000149480.7	NM_004739	ENST00000278823.7
NM_177538	6.35 	ENSG00000119004.17	NM_177538	ENST00000356079.9
NM_020674	6.35 			
NM_177967	6.35 			
NM_174936	6.35 	ENSG00000169174.11	NM_174936	ENST00000302118.5
NM_000688	6.35 	ENSG00000023330.15	NM_000688	ENST00000484952.6
NM_199166	6.35 			
NM_004731	6.35 			
NM_015229	6.35 			
NM_014335	6.35 	ENSG00000255302.5	NM_014335	ENST00000530028.3
NM_145049	6.36 	ENSG00000164332.8	NM_145049	ENST00000296786.8
NM_002936	6.36 	ENSG00000171865.10	NM_002936	ENST00000315212.4
NM_001001787	6.36 			
NM_001677	6.36 	ENSG00000143153.14	NM_001677	ENST00000367815.9
NM_006627	6.36 	ENSG00000105171.10	NM_006627	ENST00000585603.6
NM_015033	6.36 	ENSG00000187239.18	NM_015033	ENST00000446176.7
NM_025139	6.37 			
NM_032848	6.37 	ENSG00000139405.16	NM_032848	ENST00000548278.2
NM_014603	6.37 	ENSG00000109089.7	NM_014603	ENST00000337231.5
NM_017758	6.38 	ENSG00000091542.9	NM_017758	ENST00000399138.5
NM_013283	6.40 	ENSG00000038274.18	NM_013283	ENST00000321757.11
NM_182796	6.40 			
NM_015662	6.40 	ENSG00000138002.16	NM_015662	ENST00000260570.8
NM_080678	6.40 	ENSG00000184182.19	NM_080678	ENST00000272930.9
NM_024570	6.40 	ENSG00000136104.21	NM_024570	ENST00000336617.8
NM_015179	6.40 	ENSG00000052749.14	NM_015179	ENST00000370992.9
NM_199203	6.40 			
NM_003349	6.40 			
NM_017866	6.40 	ENSG00000175606.11	NM_017866	ENST00000312184.6
NM_001040613	6.40 			
NM_053055	6.40 	ENSG00000159445.13	NM_053055	ENST00000368814.8
NM_182779	6.40 			
NM_181870	6.40 			
NM_004421	6.40 			
NM_001821	6.40 			
NM_003636	6.40 			
NM_172130	6.40 			
NM_172357	6.40 			
NM_153826	6.40 			
NM_172351	6.40 	ENSG00000117335.21	NM_172351	ENST00000367042.6
NM_172353	6.40 			
NM_172360	6.40 			
NM_002389	6.40 			
NM_172356	6.40 			
NM_172350	6.40 			
NM_172359	6.40 			
NM_172355	6.40 			
NM_172358	6.40 			
NM_172352	6.40 			
NM_172354	6.40 			
NM_172361	6.40 			
NM_001009820	6.40 			
NM_003089	6.40 	ENSG00000104852.15	NM_003089	ENST00000598441.6
NM_001338	6.40 	ENSG00000154639.19	NM_001338	ENST00000284878.12
NM_024923	6.40 	ENSG00000132182.13	NM_024923	ENST00000254508.7
NM_014760	6.40 	ENSG00000157014.11	NM_014760	ENST00000448281.7
NM_173551	6.40 	ENSG00000165138.18	NM_173551	ENST00000353234.5
NM_013379	6.40 	ENSG00000176978.14	NM_013379	ENST00000371579.7
NM_021018	6.40 	ENSG00000277775.2	NM_021018	ENST00000618052.2
NM_018426	6.40 	ENSG00000137216.19	NM_018426	ENST00000323267.11
NM_003427	6.40 	ENSG00000065029.15	NM_003427	ENST00000373953.8
NM_016489	6.40 			
NM_001002010	6.40 	ENSG00000122643.23	NM_001002010	ENST00000610140.7
NM_001002009	6.40 			
NM_022744	6.40 	ENSG00000140688.17	NM_022744	ENST00000327237.7
NM_201400	6.40 	ENSG00000118894.15	NM_201400	ENST00000427587.9
NM_201598	6.40 			
NM_207318	6.40 	ENSG00000123575.9	NM_207318	ENST00000493442.2
NM_022827	6.40 	ENSG00000006282.21	NM_022827	ENST00000006658.11
NM_032193	6.40 	ENSG00000172922.11	NM_032193	ENST00000308418.10
NM_005693	6.40 	ENSG00000025434.19	NM_005693	ENST00000441012.7
NM_012388	6.40 	ENSG00000104164.12	NM_012388	ENST00000220531.9
NM_003060	6.42 	ENSG00000197375.14	NM_003060	ENST00000245407.8
NM_003083	6.42 	ENSG00000104976.12	NM_003083	ENST00000221573.11
NM_173844	6.42 			
NM_006785	6.42 	ENSG00000172175.16	NM_006785	ENST00000649217.2
NM_004422	6.42 	ENSG00000004975.12	NM_004422	ENST00000005340.10
NM_005573	6.43 	ENSG00000113368.12	NM_005573	ENST00000261366.10
NM_018212	6.43 	ENSG00000154380.19	NM_018212	ENST00000366843.7
NM_001008493	6.43 			
NM_014652	6.43 	ENSG00000117408.11	NM_014652	ENST00000372343.8
NM_000725	6.43 	ENSG00000167535.8	NM_000725	ENST00000301050.7
NM_018558	6.43 	ENSG00000268089.3	NM_018558	ENST00000598523.3
NM_002417	6.43 	ENSG00000148773.14	NM_002417	ENST00000368654.8
NM_003760	6.44 			
NM_024718	6.44 	ENSG00000196642.19	NM_024718	ENST00000311502.12
NM_005892	6.44 	ENSG00000184922.15	NM_005892	ENST00000331495.8
NM_022822	6.45 			
NM_058164	6.45 	ENSG00000105088.9	NM_058164	ENST00000264833.9
NM_000201	6.46 	ENSG00000090339.9	NM_000201	ENST00000264832.8
NM_003353	6.46 	ENSG00000163794.6	NM_003353	ENST00000296099.2
NM_032900	6.46 	ENSG00000213390.11	NM_032900	ENST00000358531.9
NM_004808	6.46 	ENSG00000152465.18	NM_004808	ENST00000378165.9
NM_017585	6.46 	ENSG00000160326.14	NM_017585	ENST00000371899.9
NM_001001323	6.46 			
NM_001682	6.46 			
NM_005614	6.46 	ENSG00000106615.10	NM_005614	ENST00000262187.10
NM_002811	6.46 	ENSG00000103035.11	NM_002811	ENST00000219313.9
NM_014738	6.46 	ENSG00000177728.17	NM_014738	ENST00000314256.12
NM_052822	6.48 			
NM_004866	6.48 	ENSG00000085365.18	NM_004866	ENST00000621999.5
NM_144589	6.48 	ENSG00000165644.11	NM_144589	ENST00000372538.8
NM_004955	6.48 			
NM_080664	6.48 	ENSG00000129480.13	NM_080664	ENST00000310850.9
NM_002225	6.48 	ENSG00000128928.10	NM_002225	ENST00000487418.8
NM_181886	6.48 			
NM_003340	6.48 			
NM_181890	6.48 			
NM_181889	6.48 			
NM_181893	6.48 			
NM_181888	6.48 			
NM_181891	6.48 	ENSG00000109332.20	NM_181891	ENST00000453744.7
NM_181892	6.48 			
NM_181887	6.48 			
NM_024782	6.48 	ENSG00000187736.14	NM_024782	ENST00000356853.10
NM_183001	6.48 			
NM_003029	6.48 			
NM_018718	6.48 	ENSG00000106477.20	NM_018718	ENST00000223208.10
NM_001042371	6.48 	ENSG00000184207.9	NM_001042371	ENST00000333503.8
NM_014573	6.49 	ENSG00000109084.14	NM_014573	ENST00000226230.8
NM_032367	6.50 	ENSG00000132846.6	NM_032367	ENST00000255198.3
NM_144723	6.50 	ENSG00000146007.11	NM_144723	ENST00000274712.8
NM_014808	6.50 	ENSG00000006607.14	NM_014808	ENST00000264042.8
NM_022063	6.50 	ENSG00000165669.14	NM_022063	ENST00000369183.9
NM_003580	6.50 	ENSG00000035681.9	NM_003580	ENST00000038176.8
NM_001018003	6.50 			
NM_005775	6.50 	ENSG00000120896.14	NM_005775	ENST00000240123.12
NM_001542	6.50 			
NM_001007237	6.50 	ENSG00000143061.18	NM_001007237	ENST00000369486.8
NM_006699	6.50 	ENSG00000198162.12	NM_006699	ENST00000356554.7
NM_019884	6.50 	ENSG00000105723.13	NM_019884	ENST00000222330.8
NM_020196	6.50 	ENSG00000076924.12	NM_020196	ENST00000358368.5
NM_014049	6.50 	ENSG00000177646.20	NM_014049	ENST00000308982.12
NM_003304	6.50 			
NM_000962	6.50 	ENSG00000095303.17	NM_000962	ENST00000362012.7
NM_080591	6.50 			
NM_014580	6.50 	ENSG00000136856.18	NM_014580	ENST00000373371.8
NM_005730	6.50 	ENSG00000175215.11	NM_005730	ENST00000398073.7
NM_003527	6.50 	ENSG00000274641.2	NM_003527	ENST00000616182.2
NM_024573	6.50 	ENSG00000146476.11	NM_024573	ENST00000367294.4
NM_007188	6.50 	ENSG00000197150.13	NM_007188	ENST00000358849.9
NM_145165	6.50 			
NM_005096	6.50 			
NM_201599	6.50 	ENSG00000147130.14	NM_201599	ENST00000314425.9
NM_007010	6.50 	ENSG00000278053.5	NM_007010	ENST00000617633.5
NM_152300	6.50 			
NM_144998	6.50 			
NM_031298	6.50 	ENSG00000127774.7	NM_031298	ENST00000248378.6
NM_001014764	6.50 			
NM_005133	6.50 	ENSG00000173653.8	NM_005133	ENST00000309657.8
NM_001032279	6.50 			
NM_203349	6.50 	ENSG00000185634.12	NM_203349	ENST00000332408.9
NM_002522	6.51 	ENSG00000171246.7	NM_002522	ENST00000306773.5
NM_181836	6.52 	ENSG00000134970.14	NM_181836	ENST00000456936.4
NM_004804	6.52 	ENSG00000144021.3	NM_004804	ENST00000488633.2
NM_002096	6.52 	ENSG00000125651.14	NM_002096	ENST00000394456.10
NM_002022	6.53 	ENSG00000076258.10	NM_002022	ENST00000367749.4
NM_014634	6.53 	ENSG00000100034.14	NM_014634	ENST00000263212.10
NM_014828	6.53 	ENSG00000092203.15	NM_014828	ENST00000448790.7
NM_207012	6.55 			
NM_012095	6.55 	ENSG00000185009.13	NM_012095	ENST00000355264.9
NM_014254	6.55 	ENSG00000118600.13	NM_014254	ENST00000261234.11
NM_014570	6.55 	ENSG00000242247.11	NM_014570	ENST00000263245.10
NM_080742	6.55 	ENSG00000112309.11	NM_080742	ENST00000230053.11
NM_012138	6.55 	ENSG00000275700.6	NM_012138	ENST00000619387.5
NM_152450	6.55 	ENSG00000157470.12	NM_152450	ENST00000288228.10
NM_004477	6.55 	ENSG00000109536.12	NM_004477	ENST00000226798.9
NM_002997	6.56 	ENSG00000115884.11	NM_002997	ENST00000254351.9
NM_001006946	6.56 			
NM_003047	6.56 	ENSG00000090020.11	NM_003047	ENST00000263980.8
NM_014774	6.56 	ENSG00000159658.15	NM_014774	ENST00000371933.8
NM_001042388	6.56 	ENSG00000154845.16	NM_001042388	ENST00000400556.8
NM_005134	6.56 			
NM_033133	6.56 	ENSG00000173786.17	NM_033133	ENST00000393892.8
NM_005575	6.57 	ENSG00000113441.16	NM_005575	ENST00000231368.10
NM_175920	6.57 			
NM_178819	6.57 	ENSG00000158669.11	NM_178819	ENST00000396987.7
NM_032012	6.57 	ENSG00000106771.13	NM_032012	ENST00000374586.8
NM_003934	6.57 	ENSG00000107164.17	NM_003934	ENST00000319725.10
NM_006869	6.57 	ENSG00000105963.15	NM_006869	ENST00000265846.10
NM_031905	6.57 	ENSG00000170632.14	NM_031905	ENST00000323716.8
NM_005676	6.57 	ENSG00000182872.16	NM_005676	ENST00000377604.8
NM_152856	6.57 			
NM_153284	6.58 			
NM_153281	6.58 			
NM_007312	6.58 			
NM_153283	6.58 			
NM_033159	6.58 	ENSG00000114378.17	NM_033159	ENST00000395144.7
NM_153286	6.58 			
NM_153282	6.58 			
NM_153285	6.58 			
NM_203281	6.58 	ENSG00000102010.15	NM_203281	ENST00000348343.11
NM_001721	6.58 			
NM_020162	6.58 	ENSG00000005100.13	NM_020162	ENST00000225296.8
NM_016121	6.59 	ENSG00000136636.13	NM_016121	ENST00000259154.9
NM_178448	6.59 	ENSG00000186193.9	NM_178448	ENST00000409687.5
NM_014520	6.59 	ENSG00000132382.15	NM_014520	ENST00000254718.9
NM_020914	6.59 			
NM_014742	6.59 	ENSG00000101337.16	NM_014742	ENST00000398022.7
NM_182507	6.59 	ENSG00000167767.14	NM_182507	ENST00000394815.3
NM_002356	6.59 	ENSG00000277443.3	NM_002356	ENST00000612661.2
NM_130781	6.60 			
NM_001031677	6.60 	ENSG00000169228.14	NM_001031677	ENST00000303251.11
NM_015327	6.60 	ENSG00000198952.8	NM_015327	ENST00000361813.5
NM_133496	6.60 	ENSG00000162695.12	NM_133496	ENST00000357650.9
NM_144987	6.60 			
NM_001040425	6.60 	ENSG00000161265.15	NM_001040425	ENST00000378975.8
NM_003837	6.60 	ENSG00000130957.5	NM_003837	ENST00000375337.4
NM_032111	6.60 	ENSG00000180992.7	NM_032111	ENST00000372014.5
NM_003379	6.60 			
NM_138439	6.60 	ENSG00000162076.13	NM_138439	ENST00000396958.8
NM_003017	6.61 	ENSG00000112081.17	NM_003017	ENST00000373715.11
NM_022489	6.61 	ENSG00000203485.14	NM_022489	ENST00000392634.9
NM_001031714	6.61 			
NM_003998	6.61 	ENSG00000109320.14	NM_003998	ENST00000226574.9
NM_014089	6.62 	ENSG00000139496.18	NM_014089	ENST00000381736.8
NM_001008564	6.62 			
NM_001008565	6.62 			
NM_021170	6.62 	ENSG00000188290.11	NM_021170	ENST00000304952.11
NM_024908	6.62 	ENSG00000092470.12	NM_024908	ENST00000263795.11
NM_032627	6.62 	ENSG00000130511.16	NM_032627	ENST00000270061.12
NM_001009998	6.62 			
NM_021058	6.63 	ENSG00000124635.9	NM_021058	ENST00000339812.3
NM_032508	6.63 	ENSG00000269556.9	NM_032508	ENST00000600449.8
NM_199334	6.63 	ENSG00000126351.13	NM_199334	ENST00000450525.7
NM_003250	6.63 			
NM_024520	6.63 			
NM_001008703	6.64 	ENSG00000186577.14	NM_001008703	ENST00000476320.6
NM_178508	6.64 			
NM_001008704	6.64 			
NM_002310	6.67 			
NM_014773	6.67 	ENSG00000081791.9	NM_014773	ENST00000432126.7
NM_005381	6.67 	ENSG00000115053.17	NM_005381	ENST00000322723.9
NM_004987	6.67 			
NM_177454	6.67 	ENSG00000144369.14	NM_177454	ENST00000304698.10
NM_016441	6.67 	ENSG00000150938.10	NM_016441	ENST00000280527.7
NM_153810	6.67 	ENSG00000151893.15	NM_153810	ENST00000369151.8
NM_016082	6.67 			
NM_016408	6.67 	ENSG00000101391.21	NM_016408	ENST00000346416.7
NM_012112	6.67 	ENSG00000088325.16	NM_012112	ENST00000300403.11
NM_002485	6.67 	ENSG00000104320.15	NM_002485	ENST00000265433.8
NM_001024688	6.67 			
NM_015878	6.67 			
NM_148174	6.67 	ENSG00000155096.15	NM_148174	ENST00000337198.10
NM_001012758	6.67 	ENSG00000186364.12	NM_001012758	ENST00000334513.6
NM_001042552	6.67 	ENSG00000203705.11	NM_001042552	ENST00000366974.9
NM_001042553	6.67 			
NM_006243	6.67 	ENSG00000066027.12	NM_006243	ENST00000261461.7
NM_024646	6.67 	ENSG00000162378.13	NM_024646	ENST00000294353.7
NM_032332	6.67 			
NM_001040134	6.67 			
NM_002579	6.67 	ENSG00000099864.18	NM_002579	ENST00000338448.10
NM_000628	6.67 	ENSG00000243646.11	NM_000628	ENST00000290200.7
NM_005726	6.67 	ENSG00000123297.20	NM_005726	ENST00000652027.2
NM_004286	6.67 	ENSG00000100226.16	NM_004286	ENST00000216044.10
NM_003463	6.67 	ENSG00000112245.13	NM_003463	ENST00000626021.3
NM_032826	6.67 	ENSG00000205060.11	NM_032826	ENST00000378509.9
NM_018719	6.67 	ENSG00000164649.20	NM_018719	ENST00000406877.8
NM_018697	6.67 	ENSG00000132434.10	NM_018697	ENST00000254770.3
NM_020195	6.67 	ENSG00000100445.18	NM_020195	ENST00000399395.8
NM_005065	6.67 	ENSG00000071537.14	NM_005065	ENST00000336735.9
NM_015556	6.67 			
NM_016138	6.67 	ENSG00000167186.11	NM_016138	ENST00000321998.10
